Dataset,PMID,Title,Metric,Embedding_model,Value
Clinical,25646170,Effect of a single session of antimicrobial photodynamic therapy using indocyanine green in the treatment of chronic periodontitis: a randomized controlled pilot trial.,n_sentences,MPNet,11.0
Clinical,31589587,Antimicrobial Photodynamic Therapy Using a Chloro-Aluminum Phthalocyanine Adjuvant to Nonsurgical Periodontal Treatment Does Not Improve Clinical Parameters in Patients with Chronic Periodontitis.,n_sentences,MPNet,6.0
Clinical,39396137,Evaluation of a new mouthwash formulated with Chlorhexidine and Cymenol after a scaling and root planing treatment in grade I and II periodontal patients.,n_sentences,MPNet,11.0
Clinical,32660549,A decision support system based on support vector machine for diagnosis of periodontal disease.,n_sentences,MPNet,9.0
Clinical,40875065,Efficacy of maxillary occlusal splints on mobile posterior teeth in patients with stage III or IV periodontitis during steps 1 and 2 of periodontal therapy: a randomized parallel-controlled clinical trial.,n_sentences,MPNet,12.0
Clinical,26733449,"The relationship between recurrent aphthous stomatitis, and periodontal disease and Helicobacter Pylori infection.",n_sentences,MPNet,13.0
Clinical,25972081,Platelet rich fibrin combined with decalcified freeze-dried bone allograft for the treatment of human intrabony periodontal defects: a randomized split mouth clinical trail.,n_sentences,MPNet,11.0
Clinical,40604898,Frequency of periodontal disease in head and neck cancer patients after radiation therapy: a cross-sectional study.,n_sentences,MPNet,19.0
Clinical,38812644,The role of probiotics for preventing dysbiosis in periodontal disease: a randomized controlled trial.,n_sentences,MPNet,12.0
Clinical,36876718,Effect of antibiotics as an adjuvant to subgingival instrumentation on systemic inflammation in patients with periodontitis: a randomized clinical trial.,n_sentences,MPNet,13.0
Clinical,29723659,Impact of green tea intake on clinical improvement in chronic periodontitis: A randomized clinical trial.,n_sentences,MPNet,11.0
Clinical,31543299,Clinical outcomes of adjunctive indocyanine green-diode lasers therapy for treating refractory periodontitis: A randomized controlled trial with in vitro assessment.,n_sentences,MPNet,15.0
Clinical,30834725,"Clinical effect of Lactobacillus on the treatment of severe periodontitis and halitosis: A double-blinded, placebo-controlled, randomized clinical trial.",n_sentences,MPNet,11.0
Clinical,40317015,"Evaluation of annexin A1, carbonic anhydrase 1, and elongation factor 1-gamma levels in periodontal diseases.",n_sentences,MPNet,12.0
Clinical,20490384,Impact of periodontal disease on quality of life.,n_sentences,MPNet,11.0
Clinical,30182639,Propolis as an adjuvant to non-surgical periodontal treatment: a clinical study with salivary anti-oxidant capacity assessment.,n_sentences,MPNet,11.0
Clinical,27384040,Efficacy of antimicrobial photodynamic therapy as an adjuvant in periodontal treatment in Down syndrome patients.,n_sentences,MPNet,13.0
Clinical,28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,n_sentences,MPNet,11.0
Clinical,35645071,Immediate effects of diode laser (970+/-15 nm) on microbial load in patients with chronic periodontitis: A split-mouth study.,n_sentences,MPNet,12.0
Clinical,36841278,Effect of non-surgical periodontal therapy with adjunct photodynamic therapy on periodontal and glycemic statuses in prediabetic patients with periodontal disease.,n_sentences,MPNet,15.0
Clinical,37170229,Research efficacy of gaseous ozone therapy as an adjuvant to periodontal treatment on oxidative stress mediators in patients with type 2 diabetes: a randomized clinical trial.,n_sentences,MPNet,13.0
Clinical,25084111,Arterial stiffness and pulse wave reflection are increased in patients suffering from severe periodontitis.,n_sentences,MPNet,5.0
Clinical,22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,n_sentences,MPNet,9.0
Clinical,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,n_sentences,MPNet,16.0
Clinical,37066949,The effect of motivational interviewing based on the transtheoretical model on oral cleaning behavior of patients with periodontitis who have undergone implant restoration.,n_sentences,MPNet,13.0
